PARENT_ID	NODE_ID	DV_ABBR	LABEL_NAME	PUBMED_NAME	DV_URL
600000	5	RAS	The RAS Initiative	RAS	http://www.cancer.gov
600000	1010		Albany Medical College	Albany	
600000	2010		Albert Einstein College of Medicine Yeshiva Univ	(Yeshiva[affil] or Einstein[affil])	
600000	3010		Alfred I. Du Pont Hospital for Children	(DuPont[affil] or Du Pont[affil])	
600000	4010		Antoni Van Leeuwenhoekziekenhuis	Leeuwenhoekziekenhuis	
600000	5010		Arizona State University Tempe Campus	(ASU[affil] or Arizona[affil])	
600000	6010		Astra Zeneca		
600000	7010		Babraham Institute	Babraham	
600000	8010		Battelle Pacific Northwest Laboratories	(Battelle[affil] or Pacific Northwest[affil] or PNL[affil])	
600000	9010		Baylor College of Medicine	Baylor	
600000	10010		Beatson Institute for Cancer Research	Beatson	
600000	11010		Beth Israel Deaconess Medical Center	Beth Israel	
600000	12010		Biostruxs		
600000	13010		Boston University	(Boston[affil] or BU[affil])	
600000	14010		Breakthrough Breast Cancer Research Unit	Breakthrough	
600000	15010		Brentwood Biomedical Research Institute	Brentwood	
600000	16010		Brigham And Women's Hospital	Brigham	
600000	17010		British Columbia Cancer Agency	British	
600000	18010		Broad Institute of MIT and Harvard	(Broad[affil] or MIT[affil] or Harvard[affil])	
600000	19010		Brooklyn College	Brooklyn	
600000	20010		Brown University	Brown	
600000	21010		Buffalo State College	Buffalo	
600000	22010		Burnham Institute for Medical Research	Burnham	
600000	23010		CNR	(CNR[affil] or Cancer[affil])	
600000	24010		California Institute of Technlogy	(Caltech[affil] or California Institute[affil] or CIT[affil])	
600000	25010		California Pacific Medical Center	California Pacific	
600000	26010		Cambridge Research Institute	(Cambridge[affil] or CRUK[affil] or Cancer Research UK[affil] or London[affil])	
600000	27010		Cambridge Research Institute (CRUK[affil])	(Cambridge[affil] or CRUK[affil] or Cancer Research UK[affil] or London[affil])	
600000	28010		Cancer Care Manitoba	Manitoba	
600000	29010		"Cancer Research UK, London Research Institute"	(Cambridge[affil] or CRUK[affil] or Cancer Research UK[affil] or London[affil])	
600000	30010		Case Western Reserve University	(Case[affil] or CWRU[affil] or Cleveland Clinic[affil])	
600000	31010		Cedars Sinai Medical Center	Cedars	
600000	32010		Centre Alexis Vautrin	Vautrin	
600000	33010		Centre Antoine Lacassagne   Cnrs Umr 6543	(CNRS[affil] or Lacassagne[affil])	
600000	34010		Centre Hospitalier Universitaire de Caen	(Centre[affil] or Hospitalier[affil] or Hospital[affil])	
600000	35010		Centre Hospitalier Universitaire de Rouen   Hospital Charles Nicolle	(Centre[affil] or Hospitalier[affil] or Hospital[affil])	
600000	36010		Centre Hospitalier Universitaire de Toulouse   Hospital Purpan	(Centre[affil] or Hospitalier[affil] or Hospital[affil])	
600000	37010		Centre Leon Berard	(Centre[affil] or Hospitalier[affil] or Hospital[affil])	
600000	38010		"Centre Mediterranen de Mdecine Molculaire, Inserm U895"	(Centre[affil] or Hospitalier[affil] or Hospital[affil])	
600000	39010		Centre Paul Papin - Inserm U892	(Centre[affil] or Hospitalier[affil] or Hospital[affil])	
600000	40010		Centro Nacional de Investigaciones Oncologicas	(Centro[affil] or Oncologico[affil] or Oncologicas[affil])	
600000	41010		Centro di Riferimento Oncologico (CRO[affil]) - National Cancer Institute	(Centro[affil] or Oncologico[affil] or Oncologicas[affil])	
600000	42010		Children's Hospital & Res Ctr at Oakland	(Children's[affil] or childrens[affil])	
600000	43010		Children's Hospital Boston	(Children's[affil] or childrens[affil])	
