2008-03-14,25473110,2212.49
2008-03-13,24192210,2263.61
2008-03-12,20771410,2243.87
2008-03-11,25260410,2255.76
2008-03-10,21010110,2169.34
2008-03-07,23869810,2212.49
2008-03-06,21650910,2220.50
2008-03-05,22090910,2272.81
2008-03-04,26699810,2260.28
2008-03-03,21450710,2258.60
2008-02-29,24053610,2271.48
2008-02-28,20320410,2331.57
2008-02-27,22165410,2353.78
2008-02-26,22636510,2344.99
2008-02-25,21528810,2327.48
2008-02-22,23244510,2303.35
2008-02-21,22775410,2299.78
2008-02-20,22581810,2327.10
2008-02-19,19886910,2306.20
2008-02-15,19995410,2321.80
2008-02-14,22675810,2332.54
2008-02-13,21746710,2373.93
2008-02-12,21835310,2320.04
2008-02-11,20722710,2320.06
2008-02-08,22293310,2304.85
2008-02-07,29463610,2293.03
2008-02-06,23620210,2278.75
2008-02-05,25018210,2309.57
2008-02-04,20509410,2382.85
2008-02-01,30601810,2413.36
2008-01-31,28134210,2389.86
2008-01-30,26188510,2349.00
2008-01-29,21600410,2358.06
2008-01-28,20338610,2349.91
2008-01-25,25994110,2326.20
2008-01-24,29289100,2360.92
2008-01-23,36502510,2316.41
2008-01-22,31614310,2292.27
2008-01-18,29913610,2340.02
2008-01-17,27859310,2346.90
2008-01-16,33973310,2394.59
2008-01-15,23901210,2417.59
2008-01-14,21342310,2478.30
2008-01-11,23554910,2439.94
2008-01-10,26404100,2488.52
2008-01-09,28211610,2474.55
2008-01-08,25664810,2440.51
2008-01-07,26001100,2499.46
2008-01-04,25163110,2504.65
2008-01-03,19702100,2602.68
2008-01-02,20766910,2609.63
2007-12-31,14545510,2652.28
2007-12-28,13388510,2674.46
2007-12-27,23248210,2676.79
2007-12-26,12418310,2724.41
2007-12-24,12418310,2713.50
2007-12-21,25088100,2691.99
2007-12-20,19604710,2640.86
2007-12-19,18359210,2601.01
2007-12-18,19825910,2596.03
2007-12-17,18731110,2574.46
2007-12-14,19023910,2635.74
2007-12-13,21437610,2668.49
