PARENT_ID	NODE_ID	DV_ABBR	LABEL_NAME	DV_URL
600000	5	AAS	Association for Academic Surgery	http://www.aasurg.org/
600000	20	Baylor	Baylor College of Medicine	
600000	21	Northwestern	Northwestern University	
600000	22	UT Houston	University of Texas Health Science Center at Houston	
600000	23	Johns Hopkins	Johns Hopkins Medicine	
600000	24	Yale	Yale University School Medicine	
600000	25	Penn State	Pennsylvania State University	
600000	26	University of Wisconsin	University of Wisconsin	
600000	27		Abington Memorial Hospital	
600000	28		Advocate Christ Hospital & Medical Center	
600000	29		Agave Surgical	
600000	30		Ahmadu Bello University Teaching Hospital	
600000	31		Ahmadu Bello University Teaching Hospital Shika-Zaria	
600000	32		AI du Pont Hospital for Children	
600000	33		Akron General Medical Center	
600000	34		Albany Medical Center	
600000	35		Albany Medical College	
600000	36		Alleghany Gen Hosp	
600000	37		Allegheny General Hospital	
600000	38		Anne Arundel Medical Center/The Breast Center	
600000	39		Aristoteleion University of Thessaloniki	
600000	40		Arkansas Children's Hospital	
600000	41		Atlantic Hlth Sys Morristown Mem Hospital	
600000	42		Bahawalvictoria Hosp	
600000	43		Bankstown Hospital/University of New South Wales	
600000	44		Batson Children's Hospital	
600000	45		Baylor College of Medicine/Michael E Debakey VAMC	
600000	46		Baystate Medical Center	
600000	47		Beth Israel Deaconess Medical Center	
600000	48		Boston University School Medicine	
600000	49		Boston VA Healthcare System	
600000	50		Brigham & Women's Hospital	
600000	51		Brigham & Womens Hospital	
600000	52		Brody School Medicine at East Carolina University	
600000	53		Brooke Army Medical Center	
600000	54		Brown Medical School	
600000	55		Brown University	
600000	56		Cambridge Health Alliance	
600000	57		Cancer Treatment Centers of America	
600000	58		"Cardiac, Vascular & Thoracic Surgeons"	
600000	59		Cardinal Glennon Childrens Hospital	
600000	60		"Carl B. Hinton, MD, PSC"	
600000	61		Carolinas Medical Center	
600000	62		Cedars-Sinai Medical Center	
600000	63		Center for Cancer Care & Research	
600000	64		Central Arkansas VA Medical Center	
600000	65		Central Arkansas Veterans Healthcare System	
600000	66		Centre Hospitalier Universitaire de Quebec	
600000	67		Chicago Medical School/Rosalind Franklin University	
600000	68		Children's Hospital & Medical Center	
600000	69		Children's Hospital & Research Center Oakland	
600000	70		Children's Hospital at Cleveland Clinic	
600000	71		Children's Hospital Boston	
600000	72		Children's Hospital Columbus	
600000	73		Children's Hospital Kings Daughter Health Center	
600000	74		Children's Hospital Los Angeles	
600000	75		Children's Hospital of Denver	
600000	76		Children's Hospital of New York-Presbyterian	
600000	77		Children's Hospital of Philadelphia	
