APPOINT_FLAG	CENTER_FLAG	DEPT_ID	DIVISION_ID	DV_ABBR	DV_CAMPUS_ID	DV_LOCATION_ID	DV_NAME	DV_PHONE	DV_ROOM_NUMBER	DV_TYPE	DV_URL	LABEL_NAME	SAU_ID	SEARCH_NAME
1	1	401000	401010	Lurie Cancer Center	1	107	Robert H. Lurie Comprehensive Cancer Center	312/908-5250	8250	Clinical	http://www.cancer.northwestern.edu/	Lurie Cancer Center	444400	Cancer center
0	0	401000	401030	TIMA	1	107	"Tumor Invasion, Metastasis and Angiogenesis"	312/908-5250	8250	Basic	http://www.cancer.northwestern.edu/	TIMA		"Tumor Invasion, Metastasis and Angiogenesis"
0	0	401000	401040	HAST	1	107	Hormone Action and Signal Transduction in Cancer	312/908-5250	8250	Basic	http://www.cancer.northwestern.edu/	HAST		Hormone Action and Signal Transduction in Cancer
0	0	401000	401050	CG	1	107	Cancer Genetics	312/908-5250	8250	Basic	http://www.cancer.northwestern.edu/	CG		Cancer Genetics
0	0	401000	401055	CBENC	1	107	"Cancer Biomedical Engineering, Nanotechnology & Chemistry"	312/908-5250	8250	Basic	http://www.cancer.northwestern.edu/	CBENC		"Cancer Biomedical Engineering, Nanotechnology & Chemistry"
0	0	401000	401060	CCB	1	107	Cancer Cell Biology	312/908-5250	8250	Basic	http://www.cancer.northwestern.edu/	CCB		Cancer Cell Biology
0	0	401000	401070	BC	1	107	Breast Cancer	312/908-5250	8250	Clinical	http://www.cancer.northwestern.edu/	BC		Breast Cancer
0	0	401000	401080	PRO	1	107	Prostate Cancer	312/908-5250	8250	Clinical	http://www.cancer.northwestern.edu/	PRO		Prostate Cancer
0	0	401000	401090	HM	1	107	Hematologic Malignancies	312/908-5250	8250	Clinical	http://www.cancer.northwestern.edu/	HM		Hematologic Malignancies
0	0	401000	401100	CP	1	107	Cancer Prevention	312/908-5250	8250	Clinical	http://www.cancer.northwestern.edu/	CP		Cancer Prevention
0	0	401000	401110	CC	1	107	Cancer Control	312/908-5250	8250	Clinical	http://www.cancer.northwestern.edu/	CC		Cancer Control
0	0	401000	401260	ZY	1	107	Non-Programmatically Aligned	312/908-5250	8250	ZY	http://www.cancer.northwestern.edu/	ZY		Non-Programmatically Aligned
0	0	401000	401200	AO	1	107	Aerodigestive Oncology	312/908-5250	8250	Clinical	http://www.cancer.northwestern.edu/	AO		Aerodigestive Oncology
0	0	401000	401210	WC	1	107	Women's Cancer	312/908-5250	8250	Clinical	http://www.cancer.northwestern.edu/	WC		Women's Cancer
