Abbreviated Journal Title;ISSN;{2010} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2010} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
4OR-Q J OPER RES;1619-4500;139;0.690;;0.065;31;4.1;0.00098;;
AAOHN J;0891-0162;468;0.560;;0.170;53;6.0;0.00091;;
AAPG BULL;0149-1423;6692;1.964;2.587;0.552;67;>10.0;0.00670;0.940;
AAPS J;1550-7416;1939;3.942;5.265;0.747;75;4.0;0.00971;1.466;
AAPS PHARMSCITECH;1530-9932;1851;1.211;2.035;0.124;201;4.6;0.00554;0.453;
AATCC REV;1532-8813;309;0.315;0.384;0.083;24;6.7;0.00053;0.097;
ABDOM IMAGING;0942-8925;2145;1.950;1.716;0.212;113;6.5;0.00547;0.495;
ABH MATH SEM HAMBURG;0025-5858;391;0.522;0.397;0.000;20;>10.0;0.00042;0.299;
ABSTR APPL ANAL;1085-3375;567;1.442;1.119;0.285;123;3.6;0.00289;0.507;
ACAD EMERG MED;1069-6563;5343;2.197;2.536;0.247;231;6.6;0.01700;0.931;
ACAD MED;1040-2446;7578;2.631;3.004;0.929;211;7.3;0.01881;1.019;
ACAD RADIOL;1076-6332;3450;2.195;2.201;0.372;199;5.4;0.01109;0.663;
ACCOUNTS CHEM RES;0001-4842;33864;21.840;20.324;3.235;149;7.4;0.09735;7.079;
ACCREDIT QUAL ASSUR;0949-1775;689;0.791;0.803;0.358;67;6.0;0.00126;0.161;
ACI MATER J;0889-325X;1928;1.023;1.155;0.083;72;>10.0;0.00397;0.657;
ACI STRUCT J;0889-3241;2050;0.782;1.076;0.107;84;>10.0;0.00494;0.620;
ACM COMPUT SURV;0360-0300;2859;7.806;10.716;0.867;15;8.8;0.00571;4.376;
ACM J EMERG TECH COM;1550-4832;93;0.838;;0.000;12;;0.00061;;
ACM SIGPLAN NOTICES;0362-1340;988;0.148;0.247;0.007;306;10.0;0.00160;0.075;
ACM T ALGORITHMS;1549-6325;347;0.932;;0.043;47;3.5;0.00428;;
ACM T APPL PERCEPT;1544-3558;185;0.776;;0.308;26;4.4;0.00126;;
ACM T ARCHIT CODE OP;1544-3566;133;0.824;;0.000;21;5.3;0.00060;;
ACM T AUTON ADAP SYS;1556-4665;108;1.000;1.645;0.286;14;3.5;0.00090;0.747;
ACM T COMPUT LOG;1529-3785;350;1.391;;0.111;27;5.0;0.00229;;
ACM T COMPUT SYST;0734-2071;1012;1.889;3.208;0.125;8;>10.0;0.00136;1.319;
ACM T COMPUT-HUM INT;1073-0516;658;1.833;;0.000;17;8.6;0.00163;;
ACM T DATABASE SYST;0362-5915;1190;1.216;2.709;0.185;27;>10.0;0.00384;1.399;
ACM T DES AUTOMAT EL;1084-4309;376;0.484;0.799;0.031;32;5.7;0.00167;0.345;
ACM T EMBED COMPUT S;1539-9087;356;1.057;;0.093;54;4.1;0.00174;;
ACM T GRAPHIC;0730-0301;5749;3.533;4.544;0.249;173;5.3;0.02381;1.684;
ACM T INFORM SYST SE;1094-9224;176;0.965;;0.071;28;6.3;0.00074;;
ACM T INFORM SYST;1046-8188;1355;1.085;2.214;0.179;28;8.4;0.00178;0.931;
ACM T INTERNET TECHN;1533-5399;335;1.118;;0.000;12;5.8;0.00151;;
ACM T MATH SOFTWARE;0098-3500;2335;1.658;2.798;0.324;37;>10.0;0.00490;1.544;
ACM T MODEL COMPUT S;1049-3301;478;0.543;;0.345;29;>10.0;0.00103;;
ACM T MULTIM COMPUT;1551-6857;246;1.400;2.465;0.074;27;4.2;0.00173;0.898;
ACM T PROGR LANG SYS;0164-0925;1440;1.167;1.639;0.263;19;>10.0;0.00196;0.650;
ACM T SENSOR NETWORK;1550-4859;495;2.282;3.770;0.222;54;3.9;0.00377;1.536;
ACM T SOFTW ENG METH;1049-331X;674;1.694;2.903;0.077;13;8.7;0.00151;1.080;
ACM T WEB;1559-1131;123;1.909;2.500;0.353;17;2.8;0.00083;0.926;
ACS APPL MATER INTER;1944-8244;1482;2.925;2.925;0.597;516;1.4;0.00686;0.881;
ACS CHEM BIOL;1554-8929;1927;5.698;5.634;1.359;103;2.7;0.01707;2.765;
ACS CHEM NEUROSCI;1948-7193;59;;;0.690;71;;0.00003;;
ACS MED CHEM LETT;1948-5875;51;;;0.430;107;;0.00000;;
ACS NANO;1936-0851;9905;9.855;9.953;1.477;986;1.8;0.05599;3.394;
ACSMS HEALTH FIT J;1091-5397;79;0.292;0.387;0.143;28;;0.00021;0.087;
ACTA ADRIAT;0001-5113;308;0.400;;0.048;21;>10.0;0.00043;;
ACTA AGR SCAND B-S P;0906-4710;359;0.620;0.616;0.055;55;6.6;0.00060;0.120;
ACTA ALIMENT HUNG;0139-3006;290;0.379;0.440;0.043;47;7.6;0.00041;0.088;
ACTA ANAESTH SCAND;0001-5172;5410;2.196;2.069;0.569;167;7.4;0.01209;0.607;
ACTA APPL MATH;0167-8019;1055;0.979;0.767;0.302;192;8.6;0.00360;0.436;
ACTA ARITH;0065-1036;1334;0.496;0.523;0.103;117;>10.0;0.00632;0.557;
ACTA ASTRONOM;0001-5237;1154;3.491;2.820;0.696;23;8.7;0.00254;1.019;
ACTA BIOCH BIOPH SIN;1672-9145;1131;1.547;1.371;0.128;117;3.9;0.00440;0.372;
ACTA BIOCHIM POL;0001-527X;1807;1.234;1.469;0.200;85;7.0;0.00401;0.429;
ACTA BIOENG BIOMECH;1509-409X;92;0.432;;0.094;32;;0.00016;;
ACTA BIOL CRACOV BOT;0001-5296;190;0.586;0.657;0.000;16;5.6;0.00048;0.149;
ACTA BIOL HUNG;0236-5383;418;0.793;0.711;0.043;46;7.7;0.00083;0.168;
ACTA BIOMATER;1742-7061;4823;4.822;5.223;0.877;529;2.3;0.02159;1.334;
ACTA BIOTHEOR;0001-5342;502;1.707;1.357;0.042;24;>10.0;0.00085;0.444;
ACTA BOT BRAS;0102-3306;753;0.368;;0.008;122;6.2;0.00145;;
ACTA BOT CROAT;0365-0588;149;0.386;;0.100;10;8.3;0.00029;;
ACTA BOT GALLICA;1253-8078;194;0.298;0.393;0.065;62;7.0;0.00026;0.061;
ACTA BOT MEX;0187-7151;185;0.146;;0.033;30;>10.0;0.00026;;
ACTA CARDIOL SIN;1011-6842;61;0.378;;0.119;42;;0.00006;;
ACTA CARDIOL;0001-5385;675;0.650;0.633;0.019;103;6.1;0.00159;0.157;
ACTA CARSOLOGICA;0583-6050;230;0.750;;0.143;42;7.0;0.00048;;
ACTA CHIM SINICA;0567-7351;2287;0.611;0.586;0.043;415;4.9;0.00320;0.072;
ACTA CHIM SLOV;1318-0207;959;1.011;1.233;0.076;132;4.1;0.00341;0.311;
ACTA CHIR BELG;0001-5458;763;0.352;0.469;0.062;130;5.9;0.00216;0.136;
ACTA CHIROPTEROL;1508-1109;388;1.012;1.129;0.214;42;4.6;0.00135;0.331;
ACTA CHROMATOGR;1233-2356;246;0.779;0.898;0.060;50;3.7;0.00092;0.220;
ACTA CIR BRAS;0102-8650;423;0.500;;0.065;92;4.6;0.00128;;
ACTA CLIN BELG;0001-5512;469;0.532;0.773;0.012;84;4.5;0.00141;0.205;
ACTA CLIN CROAT;0353-9466;104;0.384;;0.000;46;4.5;0.00022;;
ACTA CRYSTALLOGR A;0108-7673;13944;54.333;24.717;0.629;70;6.2;0.04648;8.553;
ACTA CRYSTALLOGR B;0108-7681;9914;1.829;2.029;0.403;72;>10.0;0.00712;0.747;
ACTA CRYSTALLOGR C;0108-2701;5878;0.745;0.630;0.250;280;>10.0;0.00605;0.157;
ACTA CRYSTALLOGR D;0907-4449;11096;6.326;4.098;2.898;157;9.0;0.03036;1.812;
ACTA CRYSTALLOGR E;1600-5368;9727;0.413;0.343;0.386;4085;3.1;0.01714;0.045;
ACTA CRYSTALLOGR F;1744-3091;885;0.563;0.479;0.387;367;2.7;0.00650;0.216;
ACTA CYTOL;0001-5547;2527;0.647;0.808;0.031;162;>10.0;0.00232;0.193;
ACTA DERM-VENEREOL;0001-5555;3998;2.780;2.937;0.361;72;>10.0;0.00506;0.710;
ACTA DERMATOVENER CR;1330-027X;86;0.272;;0.023;44;;0.00025;;
ACTA DIABETOL;0940-5429;988;3.175;2.155;0.583;48;7.3;0.00186;0.528;
ACTA ENDOCRINOL-BUCH;1841-0987;23;0.052;;0.039;51;;0.00002;;
ACTA ENDOSC;0240-642X;38;0.053;;0.037;54;;0.00003;;
ACTA ETHOL;0873-9749;186;0.871;1.000;0.059;17;7.3;0.00052;0.366;
ACTA GASTRO-ENT BELG;0001-5644;423;0.648;0.811;0.115;61;5.6;0.00113;0.208;
ACTA GEOD GEOPHYS HU;1217-8977;112;0.892;;0.250;44;1.8;0.00020;;
ACTA GEODYN GEOMATER;1214-9705;101;0.452;;0.190;42;3.4;0.00034;;
ACTA GEOGR SLOV;1581-6613;42;0.346;0.538;0.167;12;;0.00004;0.040;
ACTA GEOL SIN-ENGL;1000-9515;1563;1.408;1.485;0.515;132;5.5;0.00295;0.284;
ACTA GEOPHYS;1895-6572;235;1.000;;0.049;61;2.9;0.00143;;
ACTA HAEMATOL-BASEL;0001-5792;1638;1.316;1.216;0.141;99;9.2;0.00284;0.351;
ACTA HERPETOL;1827-9635;70;0.488;;0.000;27;;0.00032;;
ACTA HISTOCHEM CYTOC;0044-5991;261;1.000;0.919;0.100;20;6.3;0.00068;0.259;
ACTA HISTOCHEM;0065-1281;925;1.735;1.500;0.657;67;6.0;0.00217;0.398;
ACTA ICHTHYOL PISCAT;0137-1592;151;0.490;;0.037;27;7.7;0.00031;;
ACTA INFORM;0001-5903;678;0.809;0.859;0.053;19;>10.0;0.00150;0.602;
ACTA MATER;1359-6454;28887;3.781;4.349;0.730;653;6.5;0.09978;1.748;
ACTA MATH APPL SIN-E;0168-9673;449;0.371;;0.123;65;8.0;0.00169;;
ACTA MATH HUNG;0236-5294;1010;0.521;0.491;0.038;104;>10.0;0.00317;0.310;
ACTA MATH SCI;0252-9602;365;0.213;0.354;0.034;175;6.2;0.00147;0.154;
ACTA MATH SIN;1439-8516;1078;0.540;0.597;0.098;205;5.5;0.00587;0.322;
ACTA MATH-DJURSHOLM;0001-5962;2866;4.864;4.158;0.154;13;>10.0;0.00629;5.662;
ACTA MECH SINICA-PRC;0567-7718;489;0.749;0.747;0.073;96;4.8;0.00189;0.245;
ACTA MECH SOLIDA SIN;0894-9166;277;0.543;0.586;0.000;38;5.0;0.00095;0.178;
ACTA MECH;0001-5970;2294;1.024;1.192;0.303;155;>10.0;0.00490;0.456;
ACTA MED OKAYAMA;0386-300X;526;0.721;0.884;0.125;56;7.2;0.00120;0.254;
ACTA MEDICA MEDITERR;0393-6384;2;0.000;;;0;;0.00000;;
ACTA MEDICA PORT;1646-0758;196;0.256;;0.015;135;6.6;0.00034;;
ACTA METALL SIN;0412-1961;1036;0.477;0.441;0.123;204;5.4;0.00230;0.096;
ACTA MICROBIOL IMM H;1217-8950;169;0.625;;0.074;27;5.9;0.00035;;
ACTA MONTAN SLOVACA;1335-1788;77;0.134;;0.000;37;;0.00009;;
ACTA NEUROBIOL EXP;0065-1400;795;1.533;1.576;0.432;44;6.5;0.00175;0.427;
ACTA NEUROCHIR;0001-6268;5743;1.329;1.770;0.199;277;>10.0;0.00971;0.530;
ACTA NEUROL BELG;0300-9009;382;0.416;0.678;0.034;59;9.1;0.00071;0.200;
ACTA NEUROL SCAND;0001-6314;5414;2.153;2.323;0.390;136;9.9;0.00932;0.672;
ACTA NEUROPATHOL;0001-6322;9540;7.695;5.963;1.929;127;8.1;0.02357;1.930;
ACTA NEUROPSYCHIATR;0924-2708;240;0.529;0.656;0.536;69;3.7;0.00063;0.178;
