Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
4OR-Q J OPER RES;1619-4500;163;0.323;;0.031;32;4.6;0.00158;;
AAOHN J;0891-0162;405;0.509;;0.078;51;6.5;0.00085;;
AAPG BULL;0149-1423;6068;1.831;2.380;0.227;75;>10.0;0.00624;0.950;
AAPS J;1550-7416;2340;5.086;5.705;0.614;57;4.4;0.00931;1.529;
AAPS PHARMSCITECH;1530-9932;2314;1.432;1.925;0.166;157;5.0;0.00541;0.393;
AATCC REV;1532-8813;190;0.139;0.317;0.049;41;7.3;0.00032;0.079;
ABDOM IMAGING;0942-8925;2082;1.725;1.655;0.287;108;6.6;0.00507;0.492;
ABH MATH SEM HAMBURG;0025-5858;365;0.222;0.256;0.000;17;>10.0;0.00034;0.237;
ABSTR APPL ANAL;1085-3375;689;1.318;1.202;0.178;298;3.0;0.00323;0.473;
ACAD EMERG MED;1069-6563;5400;1.861;2.474;0.368;209;6.6;0.01553;0.859;
ACAD MED;1040-2446;7955;3.524;3.076;1.026;192;7.1;0.02064;1.132;
ACAD PEDIATR;1876-2859;335;2.398;2.398;0.969;65;2.1;0.00176;0.849;
ACAD RADIOL;1076-6332;3481;1.692;1.937;0.323;195;5.9;0.01033;0.635;
ACCOUNT RES;0898-9621;135;0.618;;0.609;23;5.1;0.00041;;
ACCOUNTS CHEM RES;0001-4842;39664;21.640;22.507;3.460;126;7.0;0.10120;7.299;
ACCREDIT QUAL ASSUR;0949-1775;627;1.036;0.781;0.677;62;5.2;0.00124;0.162;
ACI MATER J;0889-325X;2345;0.803;1.283;0.097;72;>10.0;0.00438;0.726;
ACI STRUCT J;0889-3241;2408;0.667;1.169;0.117;60;>10.0;0.00493;0.669;
ACM COMPUT SURV;0360-0300;2295;4.529;9.169;0.484;31;8.8;0.00704;5.404;
ACM J EMERG TECH COM;1550-4832;65;0.414;;0.118;17;;0.00049;;
ACM SIGPLAN NOTICES;0362-1340;767;0.090;0.126;0.006;362;>10.0;0.00170;0.074;
ACM T ALGORITHMS;1549-6325;297;0.646;;0.038;53;4.2;0.00447;;
ACM T APPL PERCEPT;1544-3558;252;1.145;;0.211;19;4.8;0.00184;;
ACM T ARCHIT CODE OP;1544-3566;130;0.568;;0.000;17;5.5;0.00094;;
ACM T AUTON ADAP SYS;1556-4665;128;1.286;1.645;0.000;28;3.7;0.00102;0.728;
ACM T COMPUT LOG;1529-3785;294;0.823;1.145;0.048;21;5.8;0.00267;1.053;
ACM T COMPUT SYST;0734-2071;792;1.188;2.531;0.000;12;>10.0;0.00141;1.565;
ACM T COMPUT-HUM INT;1073-0516;479;0.838;;0.045;22;8.4;0.00123;;
ACM T DATABASE SYST;0362-5915;894;1.000;1.414;0.077;26;9.7;0.00256;0.995;
ACM T DES AUTOMAT EL;1084-4309;372;0.811;0.823;0.054;37;5.4;0.00197;0.432;
ACM T EMBED COMPUT S;1539-9087;404;0.607;;0.105;19;4.8;0.00215;;
ACM T GRAPHIC;0730-0301;6373;3.489;4.422;0.305;190;5.6;0.03052;2.170;
ACM T INFORM SYST SE;1094-9224;378;0.696;;0.000;30;6.6;0.00164;;
ACM T INFORM SYST;1046-8188;1075;1.077;1.505;0.133;15;9.6;0.00207;1.016;
ACM T INTERNET TECHN;1533-5399;267;0.893;;0.000;12;6.4;0.00118;;
ACM T KNOWL DISCOV D;1556-4681;135;1.419;;0.000;10;3.3;0.00173;;
ACM T MATH SOFTWARE;0098-3500;2145;1.922;2.222;0.250;24;>10.0;0.00469;1.497;
ACM T MODEL COMPUT S;1049-3301;493;1.114;1.367;0.292;24;>10.0;0.00099;0.551;
ACM T MULTIM COMPUT;1551-6857;223;0.850;1.673;0.286;35;4.2;0.00168;0.830;
ACM T PROGR LANG SYS;0164-0925;1234;0.950;1.408;0.158;19;>10.0;0.00236;0.904;
ACM T RECONFIG TECHN;1936-7406;53;0.650;;0.000;28;;0.00020;;
ACM T SENSOR NETWORK;1550-4859;567;1.808;2.923;0.111;18;4.2;0.00406;1.310;
ACM T SOFTW ENG METH;1049-331X;524;1.269;2.411;0.222;18;8.8;0.00140;1.049;
ACM T WEB;1559-1131;153;0.871;2.381;0.100;20;3.9;0.00154;1.334;
ACS APPL MATER INTER;1944-8244;4646;4.525;4.540;0.713;666;1.9;0.02145;1.277;
ACS CATAL;2155-5435;184;;;0.892;204;0.5;0.00001;;
ACS CHEM BIOL;1554-8929;2681;6.446;5.976;1.082;146;2.9;0.01851;2.404;
ACS CHEM NEUROSCI;1948-7193;310;3.676;3.676;0.696;69;1.4;0.00158;1.215;
ACS COMB SCI;2156-8952;81;;;0.852;88;;0.00006;;
ACS MED CHEM LETT;1948-5875;511;3.355;3.355;0.793;179;1.3;0.00205;1.045;
ACS NANO;1936-0851;22409;11.421;11.708;1.631;1141;2.0;0.12083;3.767;
ACSMS HEALTH FIT J;1091-5397;56;0.404;0.315;0.103;29;;0.00010;0.041;
ACTA ADRIAT;0001-5113;250;0.500;;0.083;24;>10.0;0.00041;;
ACTA AGR SCAND B-S P;0906-4710;473;0.699;0.771;0.176;91;6.4;0.00098;0.195;
ACTA ALIMENT HUNG;0139-3006;362;0.444;0.600;0.056;71;7.1;0.00048;0.110;
ACTA ANAESTH SCAND;0001-5172;5364;2.188;2.032;0.580;157;8.1;0.01045;0.606;
ACTA APPL MATH;0167-8019;1017;0.899;0.787;0.143;70;8.2;0.00487;0.498;
ACTA ARITH;0065-1036;1135;0.435;0.484;0.140;114;>10.0;0.00583;0.538;
ACTA ASTRONAUT;0094-5765;1852;0.614;0.619;0.207;338;6.6;0.00541;0.227;
ACTA ASTRONOM;0001-5237;972;1.680;2.200;0.524;21;9.5;0.00227;0.991;
ACTA BIOCH BIOPH SIN;1672-9145;1335;1.376;1.474;0.331;121;4.3;0.00433;0.390;
ACTA BIOCHIM POL;0001-527X;1917;1.491;1.595;0.159;88;7.3;0.00350;0.421;
ACTA BIOENG BIOMECH;1509-409X;93;0.449;;0.140;43;;0.00030;;
ACTA BIOETH;0717-5906;15;0.000;;;;;0.00004;;
ACTA BIOL CRACOV BOT;0001-5296;262;0.565;0.796;0.000;19;6.3;0.00049;0.182;
ACTA BIOL HUNG;0236-5383;427;0.593;0.625;0.022;46;7.6;0.00071;0.137;
ACTA BIOMATER;1742-7061;7495;4.865;5.076;1.037;454;2.5;0.03116;1.315;
ACTA BIOQUIM CLIN L;0325-2957;34;0.075;0.105;;;;0.00009;0.021;
ACTA BIOTHEOR;0001-5342;488;1.468;1.525;0.062;16;>10.0;0.00104;0.573;
ACTA BOT BRAS;0102-3306;997;0.462;;0.030;100;6.8;0.00160;;
ACTA BOT CROAT;0365-0588;191;0.702;;0.208;24;6.6;0.00032;;
ACTA BOT GALLICA;1253-8078;168;0.383;0.332;0.020;51;6.4;0.00020;0.047;
ACTA BOT MEX;0187-7151;157;0.204;;0.069;29;>10.0;0.00023;;
ACTA CARDIOL SIN;1011-6842;102;0.633;;0.190;42;2.7;0.00013;;
ACTA CARDIOL;0001-5385;710;0.605;0.604;0.041;121;6.5;0.00154;0.159;
ACTA CARSOLOGICA;0583-6050;255;0.727;;0.100;30;6.4;0.00069;;
ACTA CHIM SINICA;0567-7351;2291;0.533;0.531;0.041;461;5.6;0.00281;0.067;
ACTA CHIM SLOV;1318-0207;1116;1.328;1.278;0.109;119;4.1;0.00299;0.262;
ACTA CHIR BELG;0001-5458;807;0.432;0.480;0.022;90;6.2;0.00205;0.140;
ACTA CHIROPTEROL;1508-1109;471;1.116;1.253;0.093;43;5.3;0.00148;0.365;
ACTA CHROMATOGR;1233-2356;302;0.760;0.942;0.118;51;4.1;0.00092;0.209;
ACTA CIR BRAS;0102-8650;550;0.584;;0.108;111;4.9;0.00125;;
ACTA CLIN BELG;0001-5512;522;0.592;0.836;0.127;79;4.8;0.00182;0.263;
ACTA CLIN CROAT;0353-9466;126;0.254;;0.000;60;4.3;0.00032;;
ACTA CRYSTALLOGR A;0108-7673;15812;2.076;30.646;0.721;61;3.9;0.05050;9.560;
ACTA CRYSTALLOGR B;0108-7681;9706;2.286;2.004;0.370;54;>10.0;0.00777;0.890;
ACTA CRYSTALLOGR C;0108-2701;5038;0.518;0.437;0.324;216;>10.0;0.00411;0.123;
ACTA CRYSTALLOGR D;0907-4449;12770;12.619;7.038;3.347;124;6.9;0.05384;3.711;
ACTA CRYSTALLOGR E;1600-5368;8825;0.347;0.278;0.293;4433;3.3;0.01338;0.035;
ACTA CRYSTALLOGR F;1744-3091;931;0.506;0.458;0.233;377;3.2;0.00533;0.181;
ACTA CYTOL;0001-5547;2112;0.488;0.608;0.337;92;>10.0;0.00209;0.172;
ACTA DERM-VENEREOL;0001-5555;3834;3.176;3.223;0.551;78;>10.0;0.00602;0.917;
ACTA DERMATOVENER CR;1330-027X;124;0.360;;0.000;37;4.8;0.00034;;
ACTA DIABETOL;0940-5429;1154;2.784;2.270;0.909;44;6.5;0.00216;0.521;
ACTA ENDOCRINOL-BUCH;1841-0987;40;0.183;;0.083;60;;0.00004;;
ACTA ENDOSC;0240-642X;46;0.088;0.068;0.077;39;;0.00006;0.011;
ACTA ENT MUS NAT PRA;0374-1036;175;0.721;;0.263;38;4.2;0.00036;;
ACTA ETHOL;0873-9749;198;1.353;1.187;0.059;17;7.0;0.00059;0.428;
ACTA GASTRO-ENT BELG;0001-5644;428;0.638;0.727;0.111;63;6.3;0.00099;0.202;
ACTA GEOD GEOPHYS HU;1217-8977;101;0.346;;0.032;31;4.6;0.00027;;
ACTA GEODYN GEOMATER;1214-9705;109;0.530;;0.025;40;3.5;0.00038;;
ACTA GEOGR SLOV;1581-6613;72;1.333;0.929;0.316;19;;0.00004;0.039;
ACTA GEOL POL;0001-5709;480;0.565;0.776;0.125;24;>10.0;0.00071;0.263;
ACTA GEOL SIN-ENGL;1000-9515;1683;1.250;1.252;0.106;132;6.8;0.00276;0.260;
ACTA GEOPHYS;1895-6572;278;0.617;0.667;0.492;61;3.5;0.00124;0.259;
ACTA GEOTECH SLOV;1854-0171;6;0.100;;0.091;11;;0.00003;;
ACTA GEOTECH;1861-1125;137;0.811;;0.100;20;3.8;0.00136;;
ACTA HAEMATOL-BASEL;0001-5792;1552;1.354;1.182;0.259;81;9.2;0.00297;0.369;
ACTA HERPETOL;1827-9635;77;0.580;;0.032;31;;0.00030;;
ACTA HISTOCHEM CYTOC;0044-5991;295;1.106;1.400;0.133;30;5.6;0.00069;0.340;
ACTA HISTOCHEM;0065-1281;1013;1.829;1.639;0.395;119;5.7;0.00213;0.388;
ACTA ICHTHYOL PISCAT;0137-1592;191;0.547;;0.068;44;7.6;0.00032;;
ACTA INFORM;0001-5903;506;0.444;0.512;0.000;19;>10.0;0.00112;0.499;
ACTA MATER;1359-6454;30282;3.755;4.226;0.838;745;6.7;0.09640;1.709;
ACTA MATH APPL SIN-E;0168-9673;413;0.289;;0.145;69;9.0;0.00150;;
ACTA MATH HUNG;0236-5294;1053;0.456;0.481;0.066;106;>10.0;0.00346;0.359;
ACTA MATH SCI;0252-9602;438;0.357;0.403;0.069;203;5.4;0.00207;0.194;
ACTA MATH SIN;1439-8516;1185;0.470;0.600;0.094;191;5.9;0.00629;0.351;
ACTA MATH-DJURSHOLM;0001-5962;2742;3.333;4.036;0.467;15;>10.0;0.00608;5.916;
ACTA MECH SINICA-PRC;0567-7718;582;0.860;0.865;0.057;122;4.8;0.00233;0.306;
ACTA MECH SOLIDA SIN;0894-9166;326;0.766;0.722;0.163;49;4.4;0.00109;0.211;
ACTA MECH;0001-5970;2401;1.292;1.213;0.209;177;>10.0;0.00551;0.496;
ACTA MED OKAYAMA;0386-300X;512;0.657;0.778;0.018;56;7.6;0.00095;0.202;
ACTA MEDICA MEDITERR;0393-6384;5;0.031;;0.000;19;;0.00000;;
ACTA MEDICA PORT;1646-0758;208;0.091;;0.009;115;7.1;0.00037;;
ACTA METALL SIN-ENGL;1006-7191;205;0.407;;0.000;60;4.0;0.00090;;
ACTA METALL SIN;0412-1961;1074;0.464;0.442;0.077;247;5.8;0.00215;0.097;
ACTA METEOROL SIN;0894-0525;793;0.534;;0.125;56;8.1;0.00155;;
ACTA MICROBIOL IMM H;1217-8950;213;0.787;;0.132;38;4.9;0.00052;;
ACTA MICROSC;0798-4545;61;0.202;;0.000;11;;0.00018;;
ACTA MONTAN SLOVACA;1335-1788;61;0.084;;0.000;23;;0.00023;;
ACTA NEUROBIOL EXP;0065-1400;852;2.110;1.905;0.116;43;6.5;0.00175;0.452;
ACTA NEUROCHIR;0001-6268;6333;1.520;1.839;0.380;258;9.8;0.01030;0.540;
ACTA NEUROL BELG;0300-9009;410;0.535;0.746;0.000;72;8.0;0.00073;0.191;
ACTA NEUROL SCAND;0001-6314;5440;2.469;2.347;0.942;138;9.8;0.00880;0.683;
ACTA NEUROPATHOL;0001-6322;10562;9.320;7.280;2.158;114;7.3;0.02639;2.328;
ACTA NEUROPSYCHIATR;0924-2708;243;0.577;0.643;0.279;68;4.2;0.00077;0.167;
ACTA OBSTET GYN SCAN;0001-6349;5671;1.771;1.754;0.294;197;8.4;0.01110;0.545;
ACTA OCEANOL SIN;0253-505X;627;0.494;0.520;0.047;86;7.4;0.00127;0.157;
ACTA ODONTOL SCAND;0001-6357;2181;1.066;1.386;0.150;60;>10.0;0.00209;0.407;
ACTA OECOL;1146-609X;2162;1.570;1.946;0.488;86;7.0;0.00548;0.650;
ACTA ONCOL;0284-186X;4167;3.330;3.047;0.654;159;5.6;0.01262;1.000;
ACTA OPHTHALMOL;1755-375X;4792;2.629;2.544;0.374;214;8.7;0.00995;0.729;
ACTA ORNITHOL;0001-6454;276;1.229;1.178;0.130;23;5.1;0.00073;0.310;
ACTA ORTHOP BELG;0001-6462;1192;0.401;;0.007;141;7.8;0.00268;;
ACTA ORTHOP TRAUMATO;1017-995X;277;0.337;;0.100;60;5.5;0.00082;;
ACTA ORTHOP;1745-3674;6454;2.168;2.541;0.210;119;>10.0;0.01037;0.845;
ACTA ORTOP BRAS;1413-7852;173;0.698;;0.016;61;2.7;0.00029;;
ACTA OTO-LARYNGOL;0001-6489;6044;1.084;1.219;0.195;200;>10.0;0.00867;0.377;
ACTA OTORHINOLARYNGO;0392-100X;600;0.863;;0.000;55;8.1;0.00123;;
ACTA PAEDIATR;0803-5253;9934;2.073;2.118;0.440;309;8.4;0.02065;0.684;
ACTA PALAEONTOL POL;0567-7920;1089;1.488;1.419;0.290;62;7.2;0.00405;0.746;
ACTA PARASITOL;1230-2821;633;0.789;0.851;0.164;61;7.4;0.00130;0.264;
ACTA PAUL ENFERM;0103-2100;262;0.273;;0.040;99;4.2;0.00052;;
ACTA PHARMACEUT;1330-0075;679;0.912;;0.025;40;6.2;0.00117;;
ACTA PHARMACOL SIN;1671-4083;4685;1.953;2.083;0.380;200;6.1;0.00998;0.513;
