PARENT_ID	NODE_ID	DV_ABBR	LABEL_NAME	DV_URL
600000	5	LLS	Leukemia and Lymphoma Society	http://www.lls.org/
600000	6		Albert Einstein College of Medicine	
600000	7		American Red Cross	
600000	8		Baylor College of Medicine	
600000	9		Beckman Research Institute of the City of Hope	
600000	10		Beth Israel Deaconess Medical Center	
600000	11		"Biomedical Sciences Research Center ""Al. Fleming"""	
600000	12		Boston Medical Center	
600000	13		Boston University	
600000	14		Brandeis University	
600000	15		Brigham & Women's Hospital	
600000	16		Brown University	
600000	17		California Institute of Technology	
600000	18		Campomar Institute	
600000	19		Cancer Research UK	
600000	20		Carnegie Mellon University	
600000	21		Case Western Reserve University	
600000	22		"CBR Institute of Biomedical Research, Inc."	
600000	23		Centre de Recherche en Biochimie Macromoleculire	
600000	24		Centro de Investigacion del Cancer	
600000	25		Children's Hospital Corporation	
600000	26		Children's Hospital of Boston	
600000	27		Children's Hospital of Los Angeles	
600000	28		City of Hope National Medical Center	
600000	29		Cleveland Clinic Foundation	
600000	30		Clinica Universitaria	
600000	31		Clinical Research Institute of Montreal	
600000	32		Cold Spring Harbor Laboratory	
600000	33		Columbia University	
600000	34		Dana Farber Cancer Institute	
600000	35		Dana-Farber Cancer Institute	
600000	36		Dartmouth Medical School	
600000	37		Duke University Medical Center	
600000	38		East Carolina University	
600000	39		Emory University	
600000	40		Florida State University	
600000	41		Fox Chase Cancer Center	
600000	42		Fred Hutchinson Cancer Research Center	
600000	43		Fundacio Centre de Regulacio Genomica	
600000	44		Harvard Medical School	
600000	45		Harvard School of Public Health	
600000	46		Indiana University Medical Center	
600000	47		Indiana University School of Medicine	
600000	48		INSERM	
600000	49		Institute for Research in Biomedicine	
600000	50		Instituto de Estuctura de la Materia	
600000	51		Istituto Dermopatico dell' Immacolata	
600000	52		Japan Science and Technology Corporation	
600000	53		Joan & Sanford I. Weill Medical College of Cornell University	
600000	54		Johns Hopkins University	
600000	55		Johns Hopkins University School of Medicine	
600000	56		Joslin Diabetes Center	
600000	57		La Jolla Institute for Allergy and Immunology	
600000	58		Louisana State University	
600000	59		Ludwig-Maximilians University	
600000	60		Massachusetts General Hospital	
600000	61		Massachusetts General Hospital (The General Hospital Corp.)	
600000	62		Massachusetts Institute of Technology	
600000	63		Max-Delbruck-Center for Molecular Medicine	
600000	64		Max-Planck	
600000	65		Max-Planck Society	
600000	66		Mayo Clinic and Foundation	
600000	67		Memorial Sloan-Kettering Cancer Center	
600000	68		Middle Tennessee State University	
600000	69		Mount Sinai School of Medicine	
600000	70		National Cancer Institute	
600000	71		National Institutes of Health	
600000	72		National Jewish Medical and Research Center	
600000	73		National Sun Yat-Sen University	
600000	74		Netherlands Cancer Institute	
600000	75		New England Regional Primate Research Center	
600000	76		New York University	
600000	77		Northwestern University	
600000	78		Ohio State University	
600000	79		Oklahoma Medical Research Foundation	
600000	80		Oregon Health & Science University	
600000	81		Parker Hughes Institute	
600000	82		Peter MacCallum Cancer Institute	
600000	83		Princeton University	
600000	84		Purdue University	
600000	85		"Regents of the University of Colorado, University of Colorado at Denver and Health Sciences Center (UCDHSC) - Fitzsimons Campus"	
600000	86		Rockefeller University	
600000	87		Roswell Park Cancer Institute	
600000	88		Rutgers University	
600000	89		Salk Institute for Biological Studies	
600000	90		Scripps Research Institute	
600000	91		Seoul National University	
600000	92		St. Jude Children's Research Hospital	
600000	93		Stanford University	
600000	94		State University of New York	
600000	95		Stowers Institute for Medical Research	
600000	96		Tel Aviv University	
600000	97		Temple University of the Commonwealth System of Higher Education	
600000	98		"The Regents of the University of California, San Francisco"	
600000	99		The Scripps Research Institute	
600000	100		The University of Chicago	
600000	101		The Walter & Eliza Hall Institute of Medical Research	
600000	102		Thomas Jefferson University	
600000	103		Tufts University School of Medicine	
600000	104		Univ of Texas Health Science Center at San Antonio	
600000	105		Universidade do Porto	
600000	106		Universite de Montreal	
600000	107		University of Alabama at Birmingham	
600000	108		University of Arizona	
600000	109		University of California at Berkeley	
600000	110		University of California at Irvine	
600000	111		University of California at Los Angeles	
600000	112		University of California at San Diego	
600000	113		"University of California, San Francisco"	
600000	114		University of Cincinnati	
600000	115		University of Colorado at Boulder	
600000	116		University of Colorado Health Sciences Center	
600000	117		University of Florida	
600000	118		University of Hong Kong	
600000	119		University of Illinois at Champaign-Urbana	
600000	120		University of Illinois at Chicago	
600000	121		University of Iowa	
600000	122		University of Louisville	
600000	123		University of Maryland	
600000	124		University of Massachusetts Medical School	
600000	125		University of Medicine and Dentistry of New Jersey	
600000	126		University of Michigan	
600000	127		"University of Minnesota, Twin Cities"	
600000	128		University of Nebraska Medical Center	
600000	129		University of North Carolina	
600000	130		University of North Carolina at Chapel Hill	
600000	131		University of Notre Dame	
600000	132		University of Oregon	
600000	133		University of Pennsylvania	
600000	134		University of Pittsburgh	
600000	135		University of Rochester	
600000	136		University of South Florida	
600000	137		University of Southern California	
600000	138		University of Texas	
600000	139		University of Texas M.D. Anderson Cancer Center	
600000	140		University of Utah	
600000	141		University of Virginia	
600000	142		University of Washington	
600000	143		University of Wisconsin at Madison	
600000	144		Van Andel Research Institute	
600000	145		Vanderbilt University	
600000	146		Walter & Eliza Hall Institute of Medical Research	
600000	147		Washington University in St. Louis	
600000	148		Weill Medical College of Cornell University	
600000	149		Weizmann Institute of Science	
600000	150		Whitehead Institute for Biomedical Research	
600000	151		Wistar Institute	
600000	152		Yale University	
